key,en_present,zh_present,consumer_scope,owner,sdk_key,compatibility_until
extend.account.transfer,true,true,sdk-domain-and-legacy-template,legacy-compat,account.transfer,stage-6
extend.account.transferComingSoon,true,true,sdk-domain-and-legacy-template,legacy-compat,account.transferComingSoon,stage-6
extend.account.transfer_amount_half,true,true,sdk-domain-and-legacy-template,legacy-compat,account.transfer_amount_half,stage-6
extend.account.transfer_amount_max,true,true,sdk-domain-and-legacy-template,legacy-compat,account.transfer_amount_max,stage-6
extend.account.transfer_errors.amount_error,true,true,sdk-domain-and-legacy-template,legacy-compat,account.transfer_errors.amount_error,stage-6
extend.account.transfer_errors.amount_gt_balance,true,true,sdk-domain-and-legacy-template,legacy-compat,account.transfer_errors.amount_gt_balance,stage-6
extend.account.transfer_errors.create_transaction_error,true,true,sdk-domain-and-legacy-template,legacy-compat,account.transfer_errors.create_transaction_error,stage-6
extend.account.transfer_errors.invalid_wallet_address,true,true,sdk-domain-and-legacy-template,legacy-compat,account.transfer_errors.invalid_wallet_address,stage-6
extend.account.transfer_errors.is_self,true,true,sdk-domain-and-legacy-template,legacy-compat,account.transfer_errors.is_self,stage-6
extend.account.transfer_fee,true,true,sdk-domain-and-legacy-template,legacy-compat,account.transfer_fee,stage-6
extend.account.transfer_from,true,true,sdk-domain-and-legacy-template,legacy-compat,account.transfer_from,stage-6
extend.account.transfer_placeholder,true,true,sdk-domain-and-legacy-template,legacy-compat,account.transfer_placeholder,stage-6
extend.account.transfer_placeholder_chain,true,true,sdk-domain-and-legacy-template,legacy-compat,account.transfer_placeholder_chain,stage-6
extend.account.transfer_preview,true,true,sdk-domain-and-legacy-template,legacy-compat,account.transfer_preview,stage-6
extend.account.transfer_to,true,true,sdk-domain-and-legacy-template,legacy-compat,account.transfer_to,stage-6
extend.account.transfer_transaction_error,true,true,sdk-domain-and-legacy-template,legacy-compat,account.transfer_transaction_error,stage-6
